Стимул,Реакція,Кількість реакцій,Загальна кількість реакцій,Кількість найчастіших реакцій
керівник,класний,13,101,26
,директор,8,,
,начальник,5,,
керівництво,влада,9,113,23
,вище,8,,
,директор,6,,
керувати,машиною,10,100,22
,автомобіль,6,,
,влада,6,,
кінь,тварина,10,101,23
,вороний,9,,
,чорний,4,,
кликати,на_допомогу,22,110,44
,гукати,8,,
,допомога,7,,
,маму,7,,
козак,Мамай,7,114,27
,голота,5,,
,молодий,5,,
,парубок,5,,
,шаровари,5,,
коричневий,колір,17,99,33
,стіл,8,,
,стовбур,8,,
коріння,дерево,18,101,32
,дерева,8,,
,довге,6,,
коханий,хлопець,34,100,65
,чоловік,24,,
,любий,7,,
кохання,почуття,9,101,22
,любов,8,,
,вічне,5,,
кохати,любити,12,110,30
,людину,10,,
,хлопця,8,,
країна,Україна,31,101,45
,держава,8,,
,рідна,6,,
край,рідний,37,113,49
,батьківщина,6,,
,Україна,6,,
кров,червона,37,101,43
,смерть,3,,
,червоний,3,,
курка,яйце,21,98,34
,ряба,7,,
,пір'я,6,,
лад,порядок,15,101,32
,державний,10,,
,суспільний,7,,
ладен,зробити,12,110,27
,на_все,9,,
,готовий,6,,
ладнати,справи,17,100,26
,дружити,5,,
,стосунки,4,,
ладний,гарний,18,109,28
,красивий,6,,
,зробити,4,,
лихий,поганий,12,110,31
,чоловік,10,,
,злий,9,,
лихо,біда,18,101,34
,горе,8,,
,зло,4,,
,нещастя,4,,
лівий,правий,18,110,53
,бік,16,,
,черевик,10,,
,берег,9,,
луна,місяць,17,101,41
,ехо,14,,
,гори,10,,
лунати,голос,11,110,34
,звук,8,,
,пісня,8,,
,музика,7,,
любий,коханий,12,110,28
,друг,8,,
,хлопець,8,,
любити,кохати,11,100,17
,маму,6,,
любов,вічна,7,101,21
,кохання,7,,
,почуття,7,,
людина,істота,11,101,27
,особистість,8,,
,особа,4,,
,розумна,4,,
людяний,добрий,14,110,34
,чоловік,12,,
,гуманний,8,,
людяність,доброта,30,112,48
,добро,12,,
,чесність,6,,
лякати,страх,8,110,19
,когось,6,,
,страшити,5,,
лякатися,страх,20,100,39
,темряви,7,,
,боятися,6,,
,собаки,6,,
майбутнє,світле,24,113,35
,щасливе,6,,
,життя,5,,
майбутній,час,19,110,33
,чоловік,14,,
мати,рідна,12,229,48
,любов,7,,
,доброта,4,,
,все,8,,
,гроші,6,,
,щастя,6,,
,володіти,5,,
минати,час,11,110,19
,обходити,4,,
,проходити,4,,
минуле,дитинство,14,113,28
,історія,7,,
,спогади,7,,
минулий,час,16,110,48
,день,13,,
,рік,13,,
,тиждень,6,,
минути,час,11,101,18
,життя,4,,
,вулицю,3,,
мислення,думка,20,113,42
,розум,14,,
,логічне,8,,
мислити,думати,20,110,35
,логічно,8,,
,думка,7,,
міркування,думка,14,100,33
,роздуми,11,,
,думки,8,,
міркувати,роздумувати,9,110,20
,думати,7,,
,вголос,4,,
місто,Львів,33,112,53
,велике,7,,
,рідне,7,,
,село,6,,
міський,транспорт,34,110,57
,голова,23,,
місяць,повний,16,114,48
,ясний,13,,
,ніч,11,,
,зорі,8,,
мова,українська,31,112,57
,рідна,17,,
,спілкування,9,,
мовити,слово,24,110,40
,говорити,12,,
,промовляти,4,,
мовний,засіб,9,110,23
,бар'єр,8,,
,словник,6,,
мовчазний,чоловік,14,110,37
,хлопець,13,,
,неговіркий,5,,
,німий,5,,
мовчання,тиша,10,100,24
,золото,8,,
,згода,6,,
мовчати,довго,9,110,29
,не_говорити,8,,
,тиша,6,,
,тихо,6,,
мовчки,сидіти,17,101,31
,тихо,9,,
,думати,5,,
могти,зробити,19,110,39
,все,12,,
,вміти,8,,
можливий,варіант,20,110,41
,випадок,17,,
,вихід,4,,
можливість,шанс,12,112,22
,бажання,5,,
,велика,5,,
можливо,затра,5,101,13
,мабуть,4,,
,ні,4,,
можна,треба,14,98,27
,зробити,8,,
,сказати,5,,
молода,дівчина,24,110,50
,людина,18,,
,наречена,8,,
молодий,хлопець,16,109,37
,місяць,13,,
,чоловік,8,,
молодість,юність,11,112,26
,краса,8,,
,радість,7,,
молодіти,душею,9,112,21
,на_очах,8,,
,старіти,4,,
молодо,виглядати,40,101,49
,виглядає,5,,
,зелено,4,,
молодь,весела,5,100,13
,юність,5,,
,веселощі,3,,
мрія,бажання,8,112,18
,заповітна,6,,
,здійсненна,4,,
мріяти,про_майбутнє,6,110,18
,про_щастя,6,,
,щастя,6,,
мусити,зробити,19,110,38
,обов'зок,10,,
,робити,9,,
наближати,до_себе,10,110,22
,майбутнє,6,,
,подію,6,,
наближатися,до_мети,11,112,20
,до_істини,5,,
,додому,4,,
наблизити,до_себе,15,99,23
,кінець,5,,
,підійти,3,,
наблизитися,до_мети,10,101,23
,близько,9,,
,підійти,4,,
назва,ім'я,27,112,36
,власна,6,,
,предмет,3,,
назвати,ім'я,40,101,52
,на_ім'я,8,,
,дитину,4,,
назватися,ім'я,18,98,35
,іменем,13,,
,ім'ям,4,,
називати,ім'я,43,110,60
,на_ім'я,12,,
,дитину,5,,
називатися,ім'я,33,112,50
,людиною,11,,
,другом,6,,
наказ,виконання,8,112,17
,суворий,5,,
,строгий,4,,
наказати,зробити,11,98,23
,виконати,8,,
,наказ,4,,
наказувати,робити,7,110,17
,зробити,6,,
,примушувати,4,,
народ,нація,14,112,34
,люди,10,,
,укрїнський,10,,
народний,депутат,17,110,31
,артист,8,,
,дім,6,,
насмілитися,підійти,14,100,38
,зробити,12,,
,сказати,12,,
насправді,дійсно,8,101,18
,правда,6,,
,брехня,4,,
настрашитися,вовка,9,100,22
,собаки,5,,
,страх,4,,
,чогось,4,,
небесний,ангел,13,110,32
,колір,13,,
,світило,6,,
небо,голубе,23,112,45
,блакитне,13,,
,синє,9,,
невірно,помилка,8,101,20
,думати,7,,
,неправильно,5,,
недарма,зробити,5,101,13
,жити,4,,
,кажуть,4,,
незалежний,вільний,14,110,34
,держава,11,,
,Україна,9,,
незалежність,воля,18,98,39
,свобода,13,,
,Україна,8,,
незручний,одяг,21,110,37
,стілець,6,,
,поганий,5,,
,час,5,,
незручність,дисомфорт,8,100,18
,взуття,5,,
,сором,5,,
незручно,сидіти,8,101,19
,почуватися,6,,
,погано,5,,
неймовірний,випадок,23,110,35
,вчинок,7,,
,чудовий,5,,
ненавидіти,не_любити,7,110,19
,зло,6,,
,когось,6,,
ненависть,злість,14,98,38
,зло,12,,
,ворог,6,,
,гнів,6,,
неприємний,запах,37,109,48
,поганий,6,,
,випадок,5,,
неприємність,зло,5,112,13
,біда,4,,
,погано,4,,
неприємно,чути,5,101,13
,боляче,4,,
,відчувати,4,,
ніс,довгий,14,114,27
,обличчя,7,,
,великий,6,,
ніч,темна,17,112,39
,сон,11,,
,темнота,11,,
нічний,гість,9,109,24
,сон,9,,
,клуб,6,,
новий,одяг,25,109,40
,день,8,,
,костюм,7,,
новина,приємна,12,112,34
,цікава,12,,
,радість,10,,
новітній,історія,20,112,37
,час,9,,
,винахід,8,,
нога,рука,12,114,29
,болить,11,,
,довга,6,,
оіцянка,цяцянка,15,112,31
,виконання,8,,
,обов'язока,8,,
обіцяти,виконати,6,109,18
,виконувати,4,,
,гори,4,,
,золоті_гори,4,,
обличчя,гарне,9,112,28
,очі,7,,
,краса,6,,
,кругле,6,,
обман,брехня,17,114,37
,зрада,15,,
,правда,5,,
обов'язковий,предмет,5,109,14
,примусовий,5,,
,завдання,4,,
обов'язково,зробити,13,100,27
,прийти,9,,
,виконати,5,,
обов'язок,зобов'язання,6,112,14
,навчання,4,,
,необхідність,4,,
одруження,сім'я,11,112,30
,щастя,11,,
,шлюб,8,,
одружити,сина,12,100,21
,когось,5,,
,сім'я,4,,
одружитися,з_кимось,5,98,14
,з_коханим,5,,
,вдало,4,,
одружувати,дітей,8,109,20
,весілля,7,,
,священик,5,,
одружуватися,весілля,6,110,19
,шлюб,5,,
,з_коханим,4,,
,сім'я,4,,
озлитися,на_когось,12,98,20
,гнів,4,,
,злість,4,,
око,зір,9,112,21
,велике,6,,
,голубе,6,,
оселитися,дім,11,100,25
,будинок,7,,
,в_домі,7,,
оселя,дім,19,112,44
,затишна,11,,
,тепло,7,,
,хата,7,,
оселятися,будинок,13,109,29
,дім,11,,
,в_хаті,5,,
охоче,з_радістю,5,100,11
,із_задоволенням,3,,
,їсти,3,,
охочий,до_роботи,14,109,25
,до_праці,7,,
,бажання,4,,
очі,карі,31,114,44
,голубі,9,,
,дзеркало_душі,4,,
очолити,військо,14,100,23
,партію,5,,
,групу,4,,
очолювати,військо,9,109,21
,керівник,7,,
,партію,5,,
очорнити,людину,7,100,16
,когось,5,,
,честь,4,,
пам'ятати,вірш,10,100,23
,добро,7,,
,пам'ять,6,,
пам'ятка,архітектури,13,112,27
,архітектура,8,,
,згадка,6,,
пам'тний,день,48,109,59
,знак,7,,
,вчинок,4,,
пам'ять,добра,6,98,17
,хороша,6,,
,вірш,5,,
переляк,страх,50,112,58
,жах,8,,
переляканий,страх,15,100,26
,заєць,7,,
,боягуз,4,,
перелякати,страх,10,100,25
,дитину,8,,
,до_смерті,7,,
перелякатися,страх,12,98,24
,жах,6,,
,собаки,6,,
перемагати,війна,6,100,18
,зло,6,,
,змагання,6,,
перемога,радість,29,112,37
,Вікторія,4,,
,поразка,4,,
перемогти,ворога,24,210,56
,себе,20,,
,зло,12,,
переможець,перший,6,98,14
,лідер,4,,
,слава,4,,
переставати,думати,8,109,16
,вчитися,4,,
,жити,4,,
перестати,говорити,8,99,19
,робити,6,,
,думати,5,,
пес,друг,15,112,34
,собака,12,,
,злий,7,,
питання,відповідь,48,112,59
,цікаве,6,,
,риторичне,5,,
питати,запитання,4,109,12
,когось,4,,
,поради,4,,
півень,ранок,22,112,43
,курка,14,,
,червоний,7,,
пізнавати,світ,23,109,37
,нове,7,,
,себе,7,,
пізнання,світ,10,112,23
,світу,7,,
,знання,6,,
пізнати,світ,51,199,95
,себе,33,,
,істину,11,,
пісня,музика,14,112,28
,мелодія,7,,
,солов'їна,7,,
побажати,щастя,39,99,51
,добра,7,,
,успіху,5,,
побачитися,з_коханим,8,98,21
,зустріч,7,,
,з_кимось,6,,
побачити,світ,9,99,21
,друга,6,,
,сонце,6,,
побігати,спорт,5,99,12
,навколо,4,,
,вранці,3,,
побігти,швидко,10,99,24
,далеко,7,,
,додому,7,,
побілити,стіну,16,99,35
,стіни,10,,
,стелю,9,,
побіліти,від_страху,14,99,32
,страх,11,,
,лице,7,,
побоювання,страх,40,111,48
,невпевненість,5,,
,переляк,3,,
побоюватися,страх,20,208,34
,смерті,9,,
,когось,5,,
побоятися,сказати,10,99,18
,піти,4,,
,страх,4,,
побратим,друг,44,111,59
,товариш,10,,
,брат,5,,
побувати,за_кордоном,11,100,27
,вдома,10,,
,будинок,6,,
побути,на_самоті,13,99,32
,вдома,10,,
,наодинці,9,,
повірити,в_себе,18,99,27
,на_слово,5,,
,в_Бога,4,,
повір'я,приказка,14,111,33
,народне,10,,
,забобон,9,,
поганий,настрій,18,109,34
,злий,9,,
,день,7,,
погано,добре,6,99,16
,вчитися,5,,
,знати,5,,
погляд,очі,12,109,24
,око,7,,
,думка,5,,
погостювати,в_друзів,7,99,16
,в_родичів,5,,
,гості,4,,
подивитися,телевізор,28,99,36
,в_очі,4,,
,очі,4,,
подіяти,на_когось,9,99,21
,ліки,7,,
,на_нерви,5,,
подіятися,зробити,5,100,12
,відбутися,4,,
,добре,3,,
подобріти,стати_кращим,6,100,13
,до_людей,4,,
,до_когось,3,,
по-доброму,ставитися,7,100,17
,говорити,5,,
,зробити,5,,
подружжя,щасливе,8,98,22
,любов,7,,
,пара,7,,
подумати,добре,8,100,15
,розум,4,,
,довго,3,,
пожаліти,когось,6,100,15
,себе,5,,
,дитину,4,,
пожалкувати,вчинок,8,100,17
,за_минулим,5,,
,гроші,4,,
пожартувати,сміх,16,100,30
,з_друзями,9,,
,весело,5,,
пожовкнути,листя,25,100,38
,осінь,8,,
,жовтуха,5,,
пожовтіти,листя,12,100,19
,осінь,4,,
,від_болю,3,,
позаздрити,комусь,9,99,16
,по-доброму,4,,
,другові,3,,
позеленіти,трава,15,99,31
,від_злості,11,,
,весна,5,,
поклик,душі,17,97,28
,серця,7,,
,душа,4,,
покликання,доля,9,97,16
,талант,4,,
,життя,3,,
покликати,на_допомогу,25,99,34
,когось,5,,
,допомога,4,,
покохати,хлопця,17,99,35
,людину,13,,
,щиро,5,,
полюбити,хлопця,14,100,26
,людину,7,,
,когось,5,,
помагати,іншим,10,102,27
,людям,10,,
,друзям,7,,
помаранчевий,Ющенко,23,116,46
,апельсин,12,,
,революція,11,,
помислити,думка,5,100,13
,логічно,4,,
,подумати,4,,
поміркувати,думати,5,100,14
,над_чимось,5,,
,думка,4,,
поміч,допомога,15,109,29
,друг,9,,
,друга,5,,
помічний,засіб,8,109,22
,ліки,8,,
,друг,6,,
помогти,мамі,6,100,16
,допомога,5,,
,комусь,5,,
помолодіти,душею,10,100,19
,від_щастя,5,,
,крем,4,,
пообіцяти,виконати,12,100,25
,обіцянка,7,,
,зробити,6,,
порада,друг,16,109,43
,дружня,16,,
,добра,11,,
порадити,порада,9,100,21
,добре,6,,
,допомога,6,,
посада,висока,17,112,32
,директор,8,,
,робота,7,,
посвітліти,волосся,8,101,22
,небо,8,,
,день,6,,
посиніти,від_холоду,22,100,37
,холод,9,,
,злість,6,,
посіріти,небо,15,101,23
,від_злості,4,,
,сірий,4,,
послухати,музику,21,100,35
,музика,8,,
,маму,6,,
послухатися,батьків,14,100,33
,поради,11,,
,маму,8,,
поставитися,добре,12,100,24
,з_розумінням,7,,
,з_повагою,5,,
постаріти,вік,10,100,19
,швидко,5,,
,зморшки,4,,
поталанити,щастя,11,100,24
,доля,7,,
,в_житті,6,,
потемніти,ніч,16,100,32
,вечір,9,,
,небо,7,,
потерпати,біль,11,109,21
,від_болю,5,,
,від_чогось,5,,
потерпілий,аварія,10,102,19
,катастрофа,5,,
,жертва,4,,
потерпіти,біль,20,100,32
,поразку,7,,
,нещастя,5,,
потреба,гроші,11,108,24
,необхідність,8,,
,допомога,5,,
потребувати,допомогти,31,101,48
,допомога,12,,
,хотіти,5,,
потрібний,необхідний,14,109,24
,друг,6,,
,допомога,4,,
потурбувати,когось,8,100,16
,заважати,4,,
,невчасно,4,,
потурбуватися,про_себе,5,100,12
,про_батьків,4,,
,піклуватися,3,,
поцікавитися,інтерес,7,100,18
,новинами,6,,
,книгою,5,,
почервоніти,від_сорому,20,100,43
,сором,17,,
,від_стиду,6,,
почорніти,земля,17,100,29
,від_горя,6,,
,з_горя,6,,
почути,голос,17,100,30
,слух,7,,
,новину,6,,
почутися,добре,10,100,18
,погано,5,,
,відчути,3,,
почуття,любов,25,109,46
,кохання,17,,
,щирі,4,,
пощастити,в_житті,7,100,17
,лотерея,5,,
,щастя,5,,
правда,брехня,12,109,32
,гірка,12,,
,кривда,8,,
правдивий,чесний,13,109,22
,інформація,5,,
,чоловік,4,,
правий,бік,17,100,44
,лівий,15,,
,рука,12,,
працівник,робітник,13,112,31
,робота,13,,
,відповідальний,5,,
працьовитий,робітник,12,108,27
,чоловік,10,,
,батько,5,,
працювати,робота,10,100,20
,наполегливо,5,,
,старанно,5,,
працюватися,добре,15,112,28
,робота,8,,
,легко,5,,
працюючий,робітник,15,112,34
,чоловік,12,,
,студент,7,,
праця,робота,18,109,37
,наполеглива,10,,
,важка,9,,
приємний,запах,23,109,32
,голос,5,,
,добрий,4,,
приємно,добре,8,100,16
,слухати,4,,
,спілкуватися,4,,
прожити,життя,27,100,48
,вік,13,,
,довго,8,,
пролунати,голос,9,100,24
,звук,9,,
,голосно,6,,
промова,оратор,12,109,33
,виступ,12,,
,довга,9,,
промовити,слово,35,100,45
,сказати,6,,
,оратор,4,,
промовляти,говорити,9,110,25
,тихо,9,,
,слово,7,,
прямий,кут,14,100,30
,лінія,9,,
,шлях,7,,
прямо,сказати,10,99,25
,криво,8,,
,лінія,7,,
прямувати,вперед,13,100,35
,до_мети,12,,
,дорога,10,,
птах,орел,21,98,44
,голуб,18,,
,сокіл,5,,
рада,Верховна,16,109,30
,верховна,11,,
,вирішення,3,,
радий,бачити,10,100,23
,веселий,8,,
,усмішка,5,,
радити,порада,16,100,28
,друг,6,,
,другові,6,,
радісний,день,23,100,39
,веселий,10,,
,сміх,6,,
радісно,жити,6,99,16
,весело,5,,
,вигукнути,5,,
радість,щастя,15,109,30
,смуток,8,,
,сміх,7,,
радіти,щастя,13,110,27
,життю,10,,
,сміх,4,,
радо,зустріти,15,99,24
,вітати,5,,
,прийняти,4,,
ранковий,світанок,7,110,20
,сніданок,7,,
,роса,6,,
ранком,встати,22,99,40
,вставати,9,,
,сонце,9,,
ранок,сонце,14,109,29
,сонячний,8,,
,світанок,7,,
рід,сім'я,12,109,33
,чоловічий,12,,
,великий,9,,
рідний,дім,26,109,51
,край,18,,
,свій,7,,
робити,добро,23,110,41
,роботу,11,,
,працювати,7,,
робитися,добрим,6,100,15
,погано,5,,
,робота,4,,
робітник,праця,13,108,28
,працівник,10,,
,робота,5,,
робота,важка,9,98,19
,праця,7,,
,обов'язок,3,,
родина,сім'я,30,109,49
,велика,14,,
,моя,5,,
родинний,дім,13,100,29
,зв'язок,9,,
,затишок,7,,
розвиднятися,ранок,21,109,49
,світанок,18,,
,день,10,,
розгніватися,злість,7,99,17
,на_когось,6,,
,гнів,4,,
розмова,діалог,7,109,21
,приємна,7,,
,спілкування,7,,
розмовляти,пошепки,9,109,22
,спілкуватися,7,,
,говорити,6,,
розсердитися,на_себе,8,99,21
,гнів,7,,
,на_когось,6,,
розсміятися,весело,8,99,21
,щиро,7,,
,анекдот,6,,
розум,гострий,10,109,25
,інтелект,8,,
,голова,7,,
розуміти,когось,6,109,16
,все,5,,
,з_півслова,5,,
розумний,чоловік,6,109,16
,викладач,5,,
,мудрий,5,,
розумно,сказати,7,100,16
,мислити,5,,
,виглядати,4,,
рудий,волосся,12,109,30
,кіт,9,,
,колір,9,,
рука,нога,13,109,31
,права,11,,
,допомога,7,,
самостійність,незалежність,10,99,20
,людина,6,,
,робота,4,,
свиня,тварина,15,109,32
,брудна,9,,
,бруд,8,,
свідомий,вчинок,19,109,39
,громадянин,12,,
,українець,8,,
свідомість,підсвідомість,12,109,25
,розум,8,,
,людська,5,,
свідомо,зробити,12,99,22
,вчинити,6,,
,вчинок,4,,
свій,чужий,21,114,42
,мій,11,,
,рідний,10,,
світ,великий,11,109,22
,широкий,6,,
,всесвіт,5,,
світанок,ранок,24,98,42
,сонце,14,,
,ранній,4,,
світати,ранок,28,109,52
,день,12,,
,сонце,12,,
світити,сонце,28,109,55
,світло,16,,
,лампа,11,,
світитися,сонце,10,100,29
,лампа,11,,
,лампочка,8,,
світлий,день,26,99,41
,колір,8,,
,розум,7,,
світліти,ранок,14,100,31
,день,11,,
,сонце,6,,
світло,день,13,98,32
,сонце,13,,
,яскраве,6,,
свобода,воля,24,109,48
,слова,15,,
,незалежність,9,,
селитися,дім,9,109,19
,будинок,6,,
,жити,4,,
село,рідне,9,109,19
,місто,6,,
,корова,4,,
сердечний,приступ,13,109,37
,добрий,12,,
,друг,12,,
сердитий,злий,28,109,37
,собака,5,,
,викладач,4,,
сердитися,злість,6,109,16
,злитися,5,,
,на_когось,5,,
сердито,сказати,12,99,26
,говорити,8,,
,відповісти,6,,
серце,любов,8,109,21
,добре,7,,
,гаряче,6,,
сестра,брат,21,109,47
,рідна,16,,
,подруга,10,,
син,дочка,11,109,18
,батько,4,,
,брат,3,,
синій,колір,21,109,46
,небо,20,,
,іній,5,,
синіти,небо,15,109,31
,від_холоду,10,,
,море,6,,
синява,небо,27,108,38
,море,6,,
,неба,5,,
сільський,клуб,9,109,19
,час,6,,
,голова,4,,
сірий,день,19,108,40
,колір,12,,
,заєць,9,,
сірість,буденність,14,112,29
,туман,8,,
,дощ,7,,
сіріти,вечір,13,109,22
,день,5,,
,дощ,4,,
сказати,слово,12,99,20
,правду,5,,
,приємне,3,,
слово,мова,15,109,25
,речення,5,,
,розмова,5,,
слухати,музику,28,113,46
,музика,10,,
,вухо,8,,
слухатися,батьків,23,100,40
,батьки,9,,
,маму,8,,
сміливий,хлопець,17,100,37
,вчинок,12,,
,відважний,8,,
сміливість,мужність,13,109,26
,відвага,8,,
,герой,5,,
сміти,говорити,16,113,32
,робити,9,,
,сказати,7,,
сміх,радість,25,109,38
,веселий,8,,
,щастя,5,,
сміятися,голосно,19,113,43
,весело,16,,
,радість,8,,
сніг,білий,32,95,54
,зима,18,,
,частота,4,,
собака,друг,18,109,34
,пес,9,,
,злий,7,,
сонце,світло,15,109,38
,тепло,13,,
,жовте,10,,
сором,стид,10,109,24
,червоний,10,,
,почуття,4,,
соромитися,червоніти,17,113,31
,когось,10,,
,людей,4,,
соромно,почервоніти,9,99,21
,признатися,6,,
,сказати,6,,
сором'язливий,хлопець,43,113,54
,хлопчик,6,,
,скромний,5,,
спитати,поради,9,99,17
,дозволу,4,,
,пораду,4,,
спів,пісня,18,109,31
,музика,7,,
,мелодія,6,,
співати,пісню,22,113,51
,пісня,18,,
,пісні,11,,
співучий,голос,26,113,66
,соловей,21,,
,птах,19,,
співучо,говорити,17,99,29
,соловей,7,,
,пісня,5,,
спільний,дім,12,113,24
,друг,7,,
,зошит,5,,
спільність,єдність,4,109,11
,люди,4,,
,власність,3,,
спільнота,громада,6,98,17
,люди,6,,
,група,5,,
спогад,минуле,21,109,37
,пам'ять,8,,
,приємний,8,,
спокій,тиша,12,109,22
,сон,6,,
,відпочинок,4,,
спокійний,характер,19,113,31
,тихий,6,,
,чоловік,6,,
спокійно,тихо,9,99,22
,жити,8,,
,сидіти,5,,
справа,зліва,8,98,20
,діло,7,,
,честі,5,,
справджувати,надії,17,100,33
,сподівання,9,,
,мрії,7,,
справдити,сподівання,20,98,40
,надії,12,,
,бажання,8,,
справді,дійсно,12,99,23
,правда,6,,
,дійсність,5,,
справжній,друг,49,113,61
,герой,6,,
,чоловік,6,,
спромагатися,зробити,9,113,23
,могти,8,,
,вчитися,6,,
спромогтися,зробити,15,99,22
,змогти,4,,
,дія,3,,
спроможний,на_все,7,100,15
,здатний,5,,
,допомогти,3,,
спрямувати,погляд,13,99,26
,енергію,7,,
,увагу,6,,
ставати,на_ноги,12,113,28
,дорослим,9,,
,ранок,7,,
ставатися,подія,12,100,23
,випадок,7,,
,біда,4,,
ставитися,добре,23,113,42
,до_когось,10,,
,з_повагою,9,,
ставлення,відношення,11,109,26
,добре,8,,
,хороше,7,,
стара,хата,15,100,37
,бабуся,14,,
,жінка,8,,
старий,дід,22,112,38
,друг,9,,
,дідусь,7,,
старість,не_радість,9,109,22
,смерть,7,,
,мудрість,6,,
старіти,швидко,10,113,23
,вік,8,,
,зморшки,5,,
стати,людиною,5,99,11
,відомим,3,,
,зіркою,3,,
статися,подія,13,98,24
,випадок,6,,
,біді,5,,
страх,переляк,7,108,17
,боязнь,6,,
,жах,4,,
страшитися,боятися,11,113,23
,темряви,7,,
,когось,5,,
страшний,суд,20,100,38
,сон,10,,
,звір,8,,
страшно,подумати,7,98,15
,жити,4,,
,смерть,4,,
стриманий,характер,15,113,32
,чоловік,13,,
,погляд,4,,
стриманість,скромність,10,108,17
,сором'язливість,4,,
,вихованість,3,,
стримано,поводитися,15,98,28
,говорити,8,,
,поведінка,5,,
стримати,гнів,16,99,35
,почуття,11,,
,емоції,8,,
стриматися,від_бажань,3,98,9
,від_злості,3,,
,від_образи,3,,
сум,сльози,10,108,20
,печаль,5,,
,туга,5,,
сумний,настрій,16,113,31
,вечір,8,,
,вигляд,7,,
сумно,весело,5,98,14
,дивитися,5,,
,печаль,4,,
сумувати,за_домом,5,113,13
,за_батьками,4,,
,за_коханим,4,,
сусід,добрий,14,111,28
,друг,10,,
,людина,4,,
сусідити,сусіди,8,100,17
,дружити,5,,
,сусід,4,,
сусідній,будинок,29,113,52
,дім,16,,
,двір,7,,
сучасний,стиль,21,113,43
,одяг,15,,
,модний,7,,
схвильований,голос,7,113,17
,переживання,5,,
,студент,5,,
схвилювання,переживання,9,98,18
,емоції,5,,
,страх,4,,
схвилювати,когось,7,98,17
,збентежити,6,,
,людину,4,,
схвилюватися,самому,5,98,12
,переживати,4,,
,від_чогось,3,,
сьогодення,теперішнє,9,111,21
,буденність,6,,
,сіре,6,,
сьогодні,завтра,14,98,28
,день,8,,
,зараз,6,,
сьогоднішній,день,74,113,81
,ранок,4,,
,тепер,3,,
талан,доля,13,110,31
,дар,12,,
,талант,6,,
таланити,у_всьому,10,113,26
,успіх,8,,
,фортуна,8,,
тварина,кіт,14,98,30
,корова,8,,
,собака,8,,
темний,колір,27,113,48
,ліс,15,,
,вечір,6,,
темніти,ніч,22,113,42
,вечір,14,,
,в_очах,6,,
темно,ніч,32,98,52
,вночі,12,,
,світло,8,,
темрява,ніч,48,111,63
,страх,10,,
,світло,5,,
терпець,увірвався,36,111,52
,терпіння,9,,
,стриманість,7,,
терпіння,біль,6,99,15
,велике,5,,
,мука,4,,
терпіти,біль,32,113,48
,муки,11,,
,страждання,5,,
терплячий,чоловік,22,113,39
,характер,9,,
,батько,8,,
товариство,друзі,19,111,33
,компанія,9,,
,дружба,5,,
товариш,друг,26,99,36
,вірний,6,,
,дружба,4,,
товаришувати,друг,13,113,27
,довго,7,,
,дружба,7,,
тополя,дерево,30,111,56
,висока,21,,
,струнка,5,,
треба,зробити,11,98,24
,жити,8,,
,потрібно,5,,
тримати,в_руках,12,113,23
,рука,7,,
,руки,4,,
триматися,разом,8,113,19
,за_руки,6,,
,міцно,5,,
туга,сум,23,109,34
,смуток,7,,
,біль,4,,
тужити,за_домом,6,113,16
,батьківщина,5,,
,біль,5,,
тужливий,голос,11,113,28
,сумний,10,,
,погляд,7,,
турбота,піклування,10,110,24
,мама,8,,
,опіка,6,,
турботливий,батько,35,113,57
,мама,13,,
,друг,9,,
турбувати,когось,10,113,25
,сусідів,8,,
,батьків,7,,
турбуватися,про_маму,4,113,11
,про_себе,4,,
,за_себе,3,,
увага,зосередженість,7,110,14
,повага,4,,
,пильна,3,,
уважний,учень,12,113,26
,студент,9,,
,викладач,5,,
уважність,урок,5,99,12
,лекція,4,,
,зосередженість,3,,
уважно,слухати,43,98,52
,прочитати,5,,
,читати,4,,
уряд,влада,13,99,23
,парламент,6,,
,Верховна_Рада,4,,
урядовець,посада,9,109,20
,керівник,6,,
,політик,5,,
усвідомити,зрозуміти,11,98,25
,помилку,10,,
,життя,4,,
усвідомлювати,помилку,8,113,20
,правду,6,,
,розуміти,6,,
уява,фантазія,10,110,25
,мрія,8,,
,велика,7,,
уявити,майбутнє,9,110,20
уявити,мрія,7,,
уявити,картину,4,,
уявляти,майбутнє,24,98,43
уявляти,мрія,10,,
уявляти,мріяти,9,,
хвилювання,переживання,15,113,29
хвилювання,страх,8,,
хвилювання,екзамен,6,,
хвилювати,батьків,13,110,28
хвилювати,когось,9,,
хвилювати,маму,6,,
хвилюватися,переживати,15,113,28
хвилюватися,екзамен,9,,
хвилюватися,відповідальність,4,,
хвилюючий,момент,29,100,37
хвилюючий,день,4,,
хвилюючий,фільм,4,,
хліб,свіжий,12,100,29
хліб,сіль,9,,
хліб,їжа,8,,
хлопець,дівчина,17,114,39
хлопець,гарний,16,,
хлопець,красивий,6,,
хмара,дощ,34,110,60
хмара,чорна,16,,
хмара,небо,10,,
хмаритися,небо,42,113,62
хмаритися,дощ,17,,
хмаритися,на_дощ,3,,
хода,швидка,14,97,27
хода,повільна,7,,
хода,ноги,6,,
ходити,пішки,15,113,27
ходити,ноги,6,,
ходити,швидко,6,,
хотіти,бажання,8,113,19
хотіти,їсти,6,,
хотіти,любити,5,,
хотітися,бажання,6,112,15
